X,Y,Z
-2799,7996,14348

-2238,8210,13372

-2205,9301,14662

-2757,9096,13569

-3751,10194,14203

-2837,9229,11970

-3132,9804,12644

-3120,10615,12234

-3221,11564,12639

-3036,11070,10793

-2865,11860,11799

-2995,11821,10492

-2944,12415,10637

-3215,12716,10238

-2995,12879,9572

-3373,13228,9856

-3606,13165,9007

-2960,13110,10268

-3720,13633,9289

-3033,12681,8444

-3649,13318,7989

-3108,13284,7658

-3562,13841,8055

-4104,14085,8073

-3217,13786,8014

-3784,14132,7885

-2820,12967,7356

-3308,13860,8062

-3954,14150,8661

-3852,13000,7823

-3702,12915,8975

-3047,12914,9150

-2694,13069,9126

-3315,13247,9855

-3590,12685,8185

-3300,12382,8053

-2749,13250,9628

-3046,13431,9706

-3260,12576,9100

-3186,12232,9770

-4560,11794,10455

-2468,10628,11772

-3387,10793,12849

-2664,9666,12797

-2481,9098,13337

-2448,8651,13095

-2769,7900,13805

-1887,7438,14990

-2372,6499,14305

-2125,6484,16002

-2148,5618,15765

-2210,4881,15448

-1714,4030,16348

-2130,2729,15353

-2469,2837,16317

-1943,925,17241

-3450,425,17563

-1961,-1513,16782

-2398,-2645,16590

-1336,-4477,15967

-2074,-3892,17765

-2992,-5564,14748

-1080,-7171,15736

-2035,-7542,15060

-1887,-7841,13957

-904,-10674,11324

-1731,-11021,12101

-1585,-12192,11811

-1369,-13317,10348

-1932,-12534,11327

-769,-13665,10000

-1055,-14411,8280

-406,-14073,8392

555,-14641,8141

-804,-14220,6896

138,-14640,6956

784,-15011,6193

1765,-15855,4949

557,-15491,5564

1643,-15004,5489

1873,-15082,4540

3102,-15837,3322

2451,-15314,2979

2096,-15089,3262

2253,-16001,3622

2582,-16385,2988

2428,-16420,2717

2459,-16275,2993

2465,-14717,2175

1673,-16660,2618

2172,-15971,2799

2318,-15980,2938

1982,-15931,2875

2418,-16184,3589

2357,-15925,3285

2410,-15893,3902

2318,-15248,2453

1069,-16125,3300

1879,-15891,4219

2317,-16145,4892

563,-15720,6386

1078,-15474,5277

1257,-14533,6062

620,-14432,7447

108,-13953,8283

894,-14126,8953

454,-12957,10656

-179,-12594,10471

-55,-12185,10681

507,-12300,11375

226,-11759,11174

-172,-10976,12414

-246,-10918,12614

-454,-10277,13828

-1133,-9993,14581

-756,-8302,13732

-684,-7963,13816

120,-6368,15579

-1212,-5586,16147

-83,-4307,16885

-1059,-3456,15784

-809,-2232,16301

-627,-1362,16252

-399,-162,16658

-1674,1756,18719

-381,704,15986

-1659,3352,16708

-2572,3619,15717

-1322,3119,14259

-1716,4161,15856

-4246,6760,18538

-1461,3799,15454

-2258,4613,14923

-2575,4376,15205

-1192,3054,15748

-1908,3043,16419

-1926,2955,17043

-2598,3473,18052

-1866,1726,16706

-799,760,15932

-1114,789,16134

-1814,1083,17158

-986,-281,17026

-576,-1254,16038

-876,-1301,16825

-815,-1586,17202

-214,-1435,16895

-255,-2169,16713

-613,-2160,16929

101,-2048,16349

-238,-2113,16730

-102,-1922,16382

-328,-2041,16176

-8,-1938,16602

-374,-2001,16188

-333,-2290,16484

-293,-2145,17043

-452,-2336,16684

-292,-2393,16127

-126,-1996,16380

1162,-3223,16341

-700,-1672,17353

98,-1960,16797

157,-2115,16823

328,-2330,15514

152,-2156,16396

698,-2257,16039

152,-1981,16371

333,-1920,17361

412,-1867,16625

625,-946,16132

189,-394,16345

433,-653,16213

1061,-239,16781

902,-430,16786

770,-131,17166

212,-22,16913

385,-255,16293

-101,-359,15702

415,-166,17076

1106,-493,17358

-10,-591,16690

187,-298,16744

1056,-378,16974

724,-226,16587

879,-208,16726

834,-287,16674

1296,-796,16703

-56,110,16621

-86,49,16520

354,-259,16732

-55,26,16535

-37,29,16542

-35,31,16764

-4,28,16751

-8,41,16748

-14,82,16759

-67,38,16759

-59,43,16533

-49,83,16540

263,4,16557

-314,-1078,16692

367,-22,16541

-458,-594,16757

53,-305,16534

67,-305,16551

-75,26,16558

-77,-297,16551

123,-277,16543

-97,21,16529

-85,24,16527

-119,-258,16528

-108,-270,16551

-66,-264,16545

-80,18,16525

-71,11,16526

-640,-149,16589

214,76,16766

-281,-324,16526

251,91,16550

75,80,16555

-91,-337,16579

277,-268,16542

119,95,16566

64,-295,16542

-43,-319,16542

-45,-80,16546

86,-277,16542

-89,-370,16548

-73,-99,16558

-57,15,16578

-88,-348,16584

-28,25,16542

-100,57,16553

-271,-336,16550

-31,-292,16611

-99,-268,16555

360,-126,16760

-315,-273,16567

-100,-318,16577

127,-275,16583

338,-99,16568

-275,-316,16560

-61,-344,16564

-74,98,16531

-54,103,16562

-102,-366,16555

-120,-295,16577

-24,127,16530

-106,-307,16544

102,-376,16725

394,952,16918

-4,-328,17003

46,-361,16584

-113,25,16573

-47,39,16550

-110,-308,16527

1311,-8,16670

385,310,16812

1317,-436,16787

859,208,16721

2030,167,16793

3011,-86,16374

4699,-606,16206

5371,-192,15861

5686,467,16656

7959,-326,15865

10005,-463,11758

10352,1065,12280

11791,-344,12436

11266,185,12098

11238,144,12505

10937,176,12397

10961,406,12392

11170,624,12216

11175,486,11956

11237,432,12277

11682,315,12084

10959,878,12768

11531,801,12115

11163,973,12584

11222,1044,11962

11412,828,12081

11432,841,12312

11519,470,12095

11473,811,12085

11507,476,11730

11788,438,11767

11394,770,12327

11396,790,12288

11808,536,12092

11481,411,12045

11440,390,12054

11167,437,11955

10972,631,12519

10468,758,12837

9929,1059,13022

9574,1019,14064

9945,513,13099

9735,625,13495

9762,203,13486

9345,196,13733

9796,-12,13529

9325,629,14096

9363,146,13462

9170,334,14078

9547,-15,13750

9338,152,13742

9183,290,13735

9136,325,14120

9526,299,13875

9638,50,13041

9336,200,14205

9588,-22,13941

9151,215,13705

9169,310,13940

9269,361,14119

9050,-39,13722

7560,971,15123

8241,390,14320

7765,862,14784

8033,529,14548

7317,792,14822

7386,638,14735

7495,416,15212

7482,569,14814

7215,788,15024

7064,639,15196

7181,872,15022

7215,781,15224

7040,462,15205

7437,599,14820

7055,630,15055

7064,597,14990

7079,522,15231

7048,582,15212

7200,460,15162

7234,412,14991

7200,638,15220

6810,483,15235

7194,533,15150

7253,239,15206

6911,551,15376

6819,634,15052

6950,423,15405

7012,589,15380

6801,639,14986

6580,412,15098

6565,532,15475

6125,544,15620

6005,141,15631

5302,363,15909

4844,-98,15936

4458,-488,16460

3014,80,16394

1265,-226,16476

610,-445,17974

1025,430,16587

857,-570,16549

-483,-104,16563

178,772,16972

92,-274,16519

99,-236,16699

-27,122,16570

52,-132,16611

-28,27,16547

-35,60,16515

-3,31,16553

-43,32,16572

-13,54,16523

-20,28,16568

-1,84,16572

-19,21,16567

-22,0,16520

-63,59,16545

-17,8,16564

132,-114,16561

-2370,-4619,17417

-146,-216,16675

360,263,16909

236,-897,16750

-65,-2029,16991

-787,-3312,16116

-515,-3863,16951

-439,-3296,16088

302,-4446,16202

122,-4497,15562

-246,-4951,15675

364,-4732,16255

-289,-5038,16152

-521,-5249,15728

-66,-5746,15624

-171,-5587,15908

-105,-5766,15960

142,-6488,15327

377,-6784,15042

277,-6728,15060

332,-7272,15395

764,-7702,14808

269,-7730,14873

550,-7606,14696

2053,-9037,15002

1398,-8686,12752

-2067,-7024,14668

304,-8112,16191

3704,-10146,11717

-1058,-7072,14025

3214,-9893,14971

-736,-7434,13091

4239,-9727,14138

-3584,-5783,15383

3997,-9461,15745

456,-8264,10257

-845,-7028,20529

2262,-10052,10248

-1980,-5412,18028

4340,-11133,10830

-3915,-4773,16954

3861,-9395,16438

1333,-7791,10271

-67,-6781,19891

1121,-8887,10249

-1674,-5071,18603

2740,-10322,9704

-2706,-5240,18675

3734,-10093,11540

-1496,-5780,15316

1531,-8468,16443

-902,-6848,13505

2534,-8069,14759

-1650,-6952,13491

1050,-6622,18704

1084,-8085,10941

-419,-5727,18787

367,-8405,12189

695,-6371,17655

110,-8570,10381

-2464,-4250,21220

970,-8334,11217

1311,-6690,15229

120,-7425,15123

-2630,-5043,17453

3536,-9297,12203

-4606,-3829,20066

4227,-9811,13673

-337,-6222,12897

1023,-7402,16423

-463,-6914,13535

-2088,-5715,18700

3714,-9331,9917

-2176,-5449,16932

342,-7939,17281

2410,-8471,12246

-2159,-5997,18498

1331,-8600,12093

-572,-6143,17301

2278,-9294,11374

-3098,-4606,18987

3170,-9798,13370

-974,-5961,15416

993,-7990,16483

-448,-7140,12663

1384,-7362,18004

-1757,-6425,12152

1503,-7996,18158

-122,-7639,12705

712,-6894,16819

-277,-7767,13201

428,-6557,17526

937,-8529,10863

-2844,-4838,18703

2025,-9147,12464

-2013,-5484,15241

173,-7759,17441

-470,-6660,12414

-580,-5814,16043

-1217,-6606,16807

1096,-6518,13635

-1088,-5903,16216

-1143,-5219,15932

-405,-4942,15878

-1351,-4625,15700

-783,-3304,17311

433,-3752,15191

-903,-2623,16680

-142,-1845,16828

-422,-924,16463

-368,-1092,16753

1551,2587,16170

396,310,16427

-192,-177,16120

-50,13,16536

-106,9,16517

819,-306,17491

505,-1662,15687

1310,-1192,17187

-2757,2276,20794

2135,-2657,12673

-2769,311,16730

4399,-3371,15711

-4739,2872,17867

6943,-3630,15043

-2064,-398,14940

-1867,2103,22510

5021,-3449,11536

-3034,1282,18167

1907,-1169,19675

-313,-1753,13022

-751,2228,23151

3090,-3249,12044

-2396,1196,19154

3476,-2480,15718

-253,-1328,15167

-916,990,20700

2488,-2441,13222

-1888,382,18366

207,-612,17488

1034,-1236,14611

634,-1022,16473

24,-923,17634

588,-758,16956

-494,-621,16758

834,-1552,16534

-793,-862,17003

-1012,-1139,15947

578,-382,16782

1081,-1652,16521

-122,-956,16296

-178,-414,16254

1955,1182,14706

-446,66,16904

-116,6,16764

149,98,16358

175,83,16752

-98,6,16537

120,-275,16570

1431,417,18030

-941,-381,16800

309,-208,16617

26,-754,16679

-127,-355,16594

-335,282,16120

299,125,16580

-115,-278,16555

116,-279,16563

-1018,-854,16522

274,-67,16607

-201,-558,16591

-86,3,16542

1525,1327,16950

-995,-1961,16662

45,-373,16614

-296,-196,16569

-43,55,16552

82,0,16521

84,-352,16593

108,-305,16533

-32,36,16551

-113,18,16528

-117,-260,16560

68,-347,16545

-67,-297,16560

119,63,16550

-73,75,16551

-78,-378,16570

14,-333,16589

-61,123,16569

121,-292,16978

156,-100,16567

-465,-283,16753

344,623,17503

40,-45,16808

3469,612,17929

2616,-1551,19164

-1284,-1417,15931

255,-2280,17708

-950,-2100,14975

-3264,-1239,15659

-7110,-1597,16562

-7102,-2824,13536

-8640,-675,14188

-11023,-1070,11823

-12186,-1504,9048

-17821,-1135,4529

-13530,-1950,2945

-16622,-1531,1053

-14622,-1513,-3960

-15453,-2017,-6476

-15994,-3222,-8420

-14103,-2899,-11698

-14065,-3756,-10544

-9813,-4185,-11194

-11655,-3097,-11496

-12279,-3999,-12568

-9906,-2910,-12995

-9256,-3250,-13632

-10198,-2262,-12583

-9833,-2229,-14080

-8683,-1727,-14359

-6732,-1180,-15049

-6299,-906,-14596

-7490,-1548,-14331

-6077,-940,-14155

-3416,866,-15838

-3404,855,-16138

-3987,491,-15103

-5594,1285,-14997

-3794,-150,-16581

-3623,-105,-16744

-2322,-155,-16030

-1382,-542,-15800

-2120,-1026,-16537

-1610,-974,-16720

-2046,-669,-17994

-1056,-776,-15460

-1468,-491,-16174

-1467,-1343,-17211

96,-839,-16330

-923,-187,-15956

-1507,11,-16893

-806,-220,-16453

-1266,79,-16721

-890,-916,-16950

-16,-494,-16562

-433,-369,-16595

-349,-254,-17785

-1794,-262,-16155

-1834,-145,-16268

-975,-586,-17161

-275,-164,-16624

-1444,-15,-15089

-2936,-179,-16293

-1331,-473,-16935

-1015,-443,-16749

-752,-771,-16943

-1945,-356,-16821

-1631,-547,-15592

-902,-620,-16548

-1714,-408,-16539

-1556,-946,-16477

-935,-607,-17172

-1195,-565,-15894

-1949,-183,-17748

-1660,-878,-15399

-1137,-395,-16942

-1966,-376,-15813

-1466,-505,-17987

-807,-491,-16706

-1528,-254,-16013

-1299,-487,-17081

-1398,-478,-16180

-1679,-413,-15749

-1562,-597,-16271

-729,-501,-16436

-1188,-462,-17277

-1967,-543,-16684

-503,-477,-16525

-1929,-878,-16837

-1460,-410,-16420

-724,-259,-16031

-2340,-189,-15740

-2219,-196,-16859

-256,-419,-16482

-2373,-434,-16315

-2367,-553,-16993

-1342,-157,-17070

-1276,-569,-15643

-2920,-175,-16467

-1853,27,-16940

-1273,-417,-15909

-1782,-196,-15841

-1253,192,-17957

-1972,-327,-15473

-1720,-665,-16555

-614,-596,-18201

-734,-426,-16034

-3335,-441,-15910

-1007,-174,-17550

-401,-255,-14756

-2891,-170,-17274

-1519,281,-17473

-468,6,-15016

-2861,-607,-15784

-1944,126,-17379

-1102,-20,-15441

-2905,-429,-16023

-2378,-147,-17235

38,198,-16543

-3454,-170,-14972

-3289,-282,-17551

402,-270,-16046

-2322,-174,-15264

-3295,103,-17467

-105,95,-16203

-2263,-429,-16175

-3035,285,-17978

88,-50,-16190

-2759,-149,-15831

-2268,60,-17288

-1591,328,-16275

-1731,-312,-16709

-3403,107,-16460

-844,-169,-16180

-2599,-533,-17223

-1175,-329,-16320

-2372,-176,-16824

-2067,-272,-17211

-1516,-46,-16063

-2106,85,-16320

-2262,82,-16968

-1373,-307,-15782

-2634,-302,-16937

-1897,-276,-16300

-1989,106,-16088

-2040,79,-16333

-2244,321,-16459

-1668,-175,-16154

-1814,125,-17279

-1759,171,-16281

-2904,147,-16459

-1694,25,-16382

-2322,77,-16297

-1533,-37,-16012

-2358,-65,-15754

-2615,-30,-16377

-1765,-99,-16450

-2491,28,-15784

-2362,-318,-16123

-3501,-424,-16836

-2715,-827,-16223

-3839,-431,-15833

-4083,-1135,-16593

-3242,-801,-15494

-4307,-505,-15537

-4496,-931,-16294

-4812,-1324,-16059

-5135,-432,-15945

-5869,-206,-15259

-6671,-1185,-15631

-6280,-1090,-15071

-6823,-243,-14729

-7269,-702,-14702

-8249,-834,-14845

-8345,-522,-13953

-8796,-45,-14236

-9605,-1165,-12492

-10742,-1219,-11132

-13379,-2294,-10922

-13696,-2052,-9606

-13787,-2033,-9595

-13694,-1232,-8306

-14205,-1642,-8510

-16793,-1432,-2819

-17270,-2808,-2702

-16396,-2543,-519

-17469,-2159,917

-15265,-1688,3457

-16270,-1469,3924

-14562,-1500,4374

-11552,-1242,10294

-17171,-728,11282

-12418,-1873,11792

-11172,-2724,12067

-10338,-3168,10927

-10366,-1093,12007

-8881,-802,12595

-6839,-972,15930

-6270,-1253,16681

-5082,-152,16574

-1621,-1848,16921

-902,-1767,15499

1266,-1173,18089

4086,-2116,15963

5944,-1684,16306

9776,-3239,12474

11815,-2436,11268

11522,-3038,8615

14084,-3738,6984

12709,-4237,3976

14165,-4182,5968

14370,-4789,4705

15190,-5211,6448

13994,-4370,7446

15617,-4919,8025

12727,-3554,8192

13912,-2984,7739

12672,-3483,8153

12899,-3130,11218

11352,-3225,12372

9560,-3365,13466

6638,-2965,12146

7094,-2209,16830

4705,-3665,12651

5091,-2698,16594

2362,-2416,15538

1497,-1409,16405

222,-182,18281

-331,-602,16678

-384,299,17379

335,-319,16536

-274,310,16225

701,170,16581

455,-995,16179

-225,-132,16271

-323,-343,16994

420,-522,16359

353,-454,16751

517,-441,16424

59,631,16380

-195,39,16760

-88,-281,16354

457,5,16577

-17,282,16907

59,-333,16627

-80,27,16578

-75,25,16554

-61,5,16565

-58,-271,16556

-41,11,16533

-53,58,16592

-30,52,16530

-84,-330,16574

-45,-304,16551

257,-111,16547

120,125,16554

321,-136,16525

-33,121,16562

122,110,16764

364,-340,16545

-121,-257,16571

-73,-78,16550

261,-315,16533

-28,-260,16564

123,-110,16753

268,1,16565

258,-337,16577

-84,79,16567

-69,101,16557

-4,-309,16549

-59,18,16555

-119,-124,16569

-16,38,16517

-14,-270,16529

-91,69,16553

296,5,16569

263,18,16587

124,41,16541

288,62,16555

299,30,16574

-66,63,16572

-31,31,16541

-44,44,16554

-61,46,16577

-52,57,16540

287,64,16559

-105,71,16562

-26,11,16570

-93,11,16545

307,75,16531

-64,23,16536

-30,17,16567

-28,23,16557

-15,41,16574

-36,49,16540

-37,23,16566

-7,44,16540

257,66,16557

-39,37,16562

258,22,16566

-42,23,16552

-15,80,16542

-4,24,16557

281,68,16517

-95,22,16561

-17,92,16569

264,9,16550

-48,39,16551

-48,49,16524

306,27,16567

258,29,16546

-70,97,16526

-34,-291,16568

-47,104,16548

-16,61,16560

-45,22,16512

-15,-274,16581

-35,83,16550

-47,56,16574

346,-321,16589

-125,84,16536

-66,53,16570

301,-273,16583

-100,73,16544

-47,61,16562

-22,6,16548

-16,37,16555

